stata_id,m_export_sample,m_export_sample_1,m_export_sample_2,m_export_sample_mn,m_export_sample_md,m_export_fid_1,m_export_fid_2,Y1_pystacked_1,Y1_pystacked_2,Dhat_pystacked_1,Dhat_pystacked_2,Dhat_pystacked_h_1,Dhat_pystacked_h_2
1,1,1,1,1,1,2,1,-.5388646721839905,-1.510028481483459,-1.300519108772278,-1.035633325576782,-.0342877358198166,1.790847659111023
2,1,1,1,1,1,2,2,-.3032881617546082,-.1950914561748505,-.5143746137619019,-1.67829155921936,-1.155073165893555,.2853184342384338
3,1,1,1,1,1,2,2,.1689703762531281,.3378041982650757,-.852006733417511,4.64594554901123,-3.017466306686401,.5854511260986328
4,1,1,1,1,1,2,1,.9973899126052856,.9992536306381226,-1.316776990890503,.1102233305573463,-2.883643627166748,-3.108086824417114
5,1,1,1,1,1,2,1,.6989531517028809,1.101724863052368,.0878952145576477,.8315485715866089,-3.005054473876953,-2.59739089012146
6,1,1,1,1,1,2,2,.7582845687866211,.907969057559967,-4.153205871582031,-4.591132164001465,-2.973250865936279,-2.980050325393677
7,1,1,1,1,1,2,2,.5108656287193298,.8790131807327271,-1.293449640274048,-1.922979950904846,.7764475345611572,-.5221740007400513
8,1,1,1,1,1,2,2,-.121029794216156,.1144421622157097,2.04087233543396,3.296045541763306,.5895460844039917,1.810971975326538
9,1,1,1,1,1,2,1,.3424843549728394,.0284056104719639,3.338737964630127,1.788993954658508,1.939620018005371,1.780896544456482
10,1,1,1,1,1,1,2,.5816006064414978,.7037298679351807,2.006414175033569,2.568822860717773,2.541637182235718,2.457526922225952
11,1,1,1,1,1,1,2,.4608936011791229,.8915988206863403,2.115368366241455,2.695588350296021,2.541637182235718,2.468201637268066
12,1,1,1,1,1,1,1,.4620072543621063,.019330196082592,2.112922430038452,2.009752035140991,2.541637182235718,1.780896544456482
13,1,1,1,1,1,1,1,.039231613278389,-.7034783959388733,2.05636739730835,2.353535413742065,5.398409843444824,4.240274906158447
14,1,1,1,1,1,1,1,.6994155645370483,.0258665904402733,2.199199914932251,.9686578512191772,2.567367315292358,1.780896544456482
15,1,1,1,1,1,2,2,-.6620650291442871,-.581651508808136,-5.38206958770752,-5.649072170257568,-3.660070419311523,-3.611535310745239
16,1,1,1,1,1,2,2,.2456459403038025,.4462479948997498,-4.023256301879883,-3.447241544723511,-1.175293326377869,3.245819330215454
17,1,1,1,1,1,1,2,.1077131479978561,.0437160544097424,-4.381937980651855,-4.350559711456299,.8736504316329956,-.02679100073874
18,1,1,1,1,1,1,1,.5907628536224365,.0897990390658379,-4.546447277069092,-4.569687366485596,-.399973452091217,-.9144976735115051
19,1,1,1,1,1,1,1,-.7093906402587891,-.4674983620643616,-1.272771000862122,.3010456562042236,3.807338714599609,2.532267808914185
20,1,1,1,1,1,2,1,.9761449098587036,.726873517036438,-3.497967004776001,-4.193329811096191,-2.928844451904297,-3.829434633255005
21,1,1,1,1,1,2,1,.9761449098587036,.726873517036438,-3.497967004776001,-4.193329811096191,-2.928844451904297,-3.829434633255005
22,1,1,1,1,1,1,1,1.011032104492188,.8848536610603333,-4.033874988555908,-4.196405410766602,-3.805433750152588,-3.829434633255005
23,1,1,1,1,1,1,1,1.031748056411743,.2572137713432312,-1.085195660591125,1.577043890953064,1.566847920417786,3.33688759803772
24,1,1,1,1,1,1,1,-1.310641646385193,-1.367297053337097,7.08210277557373,1.994969606399536,10.21980667114258,9.783456802368164
25,1,1,1,1,1,2,1,.3811208605766296,-.0191516242921352,.1674242466688156,.7219258546829224,1.371901988983154,3.33688759803772
26,1,1,1,1,1,1,2,-.0749826207756996,.8025892376899719,2.263115406036377,2.572593450546265,1.524332284927368,1.777726292610168
27,1,1,1,1,1,1,2,.329153835773468,.8287495970726013,3.931056976318359,2.572593450546265,2.541637182235718,2.468201637268066
28,1,1,1,1,1,1,2,-.5003367066383362,-.6685435175895691,-5.992445945739746,-4.549539089202881,-2.771704435348511,-1.145470857620239
29,1,1,1,1,1,1,2,.5807299613952637,.5508983135223389,-5.24677562713623,-4.679981708526611,-1.760932326316833,-1.295969009399414
30,1,1,1,1,1,2,2,.4315658211708069,.5223252773284912,-4.590750217437744,-4.549105167388916,-3.729727983474731,-1.757312297821045
31,1,1,1,1,1,2,1,1.009956479072571,1.056503057479858,-4.276068687438965,-4.513607501983643,-3.005054473876953,-3.559731483459473
32,1,1,1,1,1,1,2,.0669196024537086,.6948673129081726,-4.726786613464355,-4.679981708526611,-1.238653779029846,-3.00963282585144
33,1,1,1,1,1,2,1,.5533246397972107,.8896768689155579,-3.523519039154053,-4.203013896942139,-3.556601524353027,-3.829434633255005
34,1,1,1,1,1,2,1,.3565305471420288,.1833070069551468,.178287535905838,1.020738005638123,1.371901988983154,1.799282193183899
35,1,1,1,1,1,2,2,.2915950119495392,.0220496263355017,-5.740193843841553,-5.862510681152344,-4.406266689300537,-4.145003318786621
36,1,1,1,1,1,2,2,.1881094723939896,.2272452414035797,-3.898863077163696,-4.727676868438721,-1.31450879573822,-2.336284875869751
37,1,1,1,1,1,1,2,-.0496582053601742,.4845785200595856,-4.223804950714111,-4.028125762939453,-.6966921091079712,-1.703265428543091
38,1,1,1,1,1,2,1,.2762270271778107,.0506577230989933,-3.829856634140015,-5.385180950164795,-2.183951377868652,-.1566643714904785
39,1,1,1,1,1,1,1,1.093884944915771,1.055362105369568,-4.200706958770752,-4.069988250732422,-3.849574565887451,-3.876957654953003
40,1,1,1,1,1,1,2,1.144019842147827,1.176879167556763,-4.203366279602051,-3.917947769165039,-3.849574565887451,-3.261706829071045
41,1,1,1,1,1,2,1,.4978491365909576,.2628044784069061,-.3707413971424103,4.279834270477295,-.0775576457381248,6.306900501251221
42,1,1,1,1,1,1,1,.3407784402370453,-.170998215675354,7.345890045166016,1.841130375862122,8.14711856842041,6.990517616271973
43,1,1,1,1,1,2,2,.3219863772392273,.9041039943695068,1.863834381103516,.5835453867912292,1.939620018005371,2.073076486587524
44,1,1,1,1,1,2,2,.3294650018215179,.6995823979377747,1.310501456260681,1.859263062477112,2.087826251983643,2.457526922225952
45,1,1,1,1,1,2,1,.0765335112810135,.2237735688686371,-3.898558139801025,-5.297444343566895,-1.31450879573822,-2.348351240158081
46,1,1,1,1,1,2,2,.8387761116027832,.8998318314552307,-3.970618486404419,-4.746921062469482,-2.973250865936279,-2.980050325393677
47,1,1,1,1,1,2,2,-.0204579010605812,-.0868350714445114,.3995465040206909,-.8306739926338196,4.727385520935059,4.640419483184814
48,1,1,1,1,1,1,2,.8491644859313965,1.166983246803284,-1.636066198348999,-1.534703254699707,-.8989647626876831,-.8302140831947327
49,1,1,1,1,1,2,1,.5550301671028137,.1018827855587006,-.2340958565473557,.5877755284309387,.8514442443847656,.9154941439628601
50,1,1,1,1,1,1,1,.9363471269607544,1.082828760147095,-5.108290195465088,-4.179580211639404,-2.053132772445679,-3.559731483459473
51,1,1,1,1,1,1,2,.7889240384101868,.9790204167366028,-1.904301166534424,-1.922979950904846,.0104635339230299,.6240211129188538
52,1,1,1,1,1,2,1,.3620748519897461,.0175677519291639,3.085867643356323,.9983084797859192,2.087826251983643,1.799282193183899
53,1,1,1,1,1,2,1,.1863522678613663,-.1159255504608154,2.239161252975464,2.351810932159424,2.087826251983643,1.780896544456482
54,1,1,1,1,1,2,2,.3000719547271729,.4298556447029114,-4.382231712341309,-4.679981708526611,-1.849060773849487,-1.148091912269592
55,1,1,1,1,1,1,2,.4825657606124878,.5077745914459229,-5.266471862792969,-4.549105167388916,-1.069522619247437,-1.388602495193481
56,1,1,1,1,1,2,1,1.011641025543213,1.057082533836365,-4.274886131286621,-4.511804103851318,-3.005054473876953,-3.559731483459473
57,1,1,1,1,1,1,2,1.011724829673767,1.077577829360962,-3.766506671905518,-3.504823446273804,-3.805433750152588,-2.730691194534302
58,1,1,1,1,1,1,1,.014399342238903,-.4542795419692993,-1.522489547729492,-.4546665251255035,6.284825325012207,4.460471630096436
59,1,1,1,1,1,1,1,.0329384282231331,1.016573190689087,-4.979700565338135,-4.165990352630615,-2.173755884170532,-3.559731483459473
60,1,1,1,1,1,1,2,.6004303693771362,.5933200716972351,-4.541548728942871,-4.153570652008057,-.399973452091217,-.1605845391750336
61,1,1,1,1,1,2,1,.4146485030651093,.1052046343684196,-.5778627395629883,1.555593252182007,.819640576839447,13.73519229888916
62,1,1,1,1,1,1,2,.8123153448104858,.8366040587425232,-1.05013370513916,-.2094607949256897,1.566847920417786,1.342893123626709
63,1,1,1,1,1,1,1,-.0205132719129324,-.2499172538518906,-.0326633043587208,.6031800508499146,2.793423891067505,5.300963878631592
64,1,1,1,1,1,1,1,-.3057860136032104,-.2877969443798065,-3.734992742538452,-4.582228660583496,-1.811860322952271,-3.902975559234619
65,1,1,1,1,1,2,2,-.2876100242137909,-.1954676955938339,-1.516420006752014,.1868874430656433,-.9621959924697876,2.042207479476929
66,1,1,1,1,1,2,2,.1434747278690338,.2163775563240051,-4.59805965423584,-5.23729944229126,-4.506837844848633,-4.6498703956604
67,1,1,1,1,1,1,2,.1000959277153015,-.1006358042359352,-6.718437671661377,-6.086410045623779,-5.032180309295654,-5.028937339782715
68,1,1,1,1,1,1,2,-.2472796142101288,-.554436981678009,-5.505467891693115,-5.231272220611572,-4.256485939025879,-4.426043510437012
69,1,1,1,1,1,1,2,-.3844100534915924,-.5442265868186951,-8.042678833007813,-7.698306083679199,-6.510217666625977,-6.539581298828125
70,1,1,1,1,1,2,2,.1422837376594543,-.1006811410188675,-5.620541572570801,-6.123028755187988,-4.970564365386963,-5.227561950683594
71,1,1,1,1,1,2,2,-.8966414332389832,-.5499387979507446,-7.497249603271484,-6.616677284240723,-6.625631809234619,-6.481274604797363
72,1,1,1,1,1,1,2,-.3641923069953918,-.5413985252380371,-4.499136447906494,-5.141407489776611,-4.089745044708252,-4.426043510437012
73,1,1,1,1,1,1,1,-.2587651312351227,-.6314751505851746,-.2862744927406311,-.4965980648994446,-.3564189374446869,-.5476247072219849
74,1,1,1,1,1,2,2,-.3905341625213623,-.2097184509038925,-.2606296837329865,-.9209190607070923,.0514153242111206,-.795834481716156
75,1,1,1,1,1,2,1,-.5942230224609375,-1.256962656974792,1.832873106002808,3.616419792175293,2.134596824645996,4.331337928771973
76,1,1,1,1,1,2,2,-.9136870503425598,-.8202890753746033,-.7204035520553589,4.3186936378479,1.531242609024048,-.3976445496082306
77,1,1,1,1,1,2,1,.4148021638393402,.3080127537250519,-5.899041652679443,-5.918205261230469,-5.183750629425049,-5.321212768554688
78,1,1,1,1,1,1,2,.0524932667613029,-.3531978130340576,-4.362544059753418,-4.232218742370605,-4.283924579620361,-4.133222579956055
79,1,1,1,1,1,1,2,-.5924186706542969,-.3646926581859589,-4.521062850952148,-4.722306251525879,-4.172591209411621,-4.426043510437012
80,1,1,1,1,1,1,1,-1.246881365776062,-1.427251935005188,6.472265720367432,6.235466480255127,3.28199291229248,4.448050498962402
81,1,1,1,1,1,1,1,.384753942489624,.1582769453525543,-6.326459884643555,-6.227333545684814,-5.696806907653809,-5.734647274017334
82,1,1,1,1,1,2,1,.2968374490737915,-.1517059504985809,-4.450799465179443,-4.881735801696777,-4.62260913848877,-4.528150081634521
83,1,1,1,1,1,2,1,-.5614818334579468,.4272561371326447,-5.524611949920654,-6.216984272003174,-4.593997955322266,-4.596504688262939
84,1,1,1,1,1,1,2,-.5950478315353394,-.7768404483795166,-4.806587696075439,-2.950758218765259,-2.044283866882324,-1.63579785823822
85,1,1,1,1,1,2,1,-.7155488133430481,.3366821706295013,-4.744567394256592,-5.407445907592773,-3.620477676391602,-3.802436590194702
86,1,1,1,1,1,1,1,-.1831988096237183,-.0147902276366949,-5.606540203094482,-4.587573528289795,-3.968680620193481,-4.382340908050537
87,1,1,1,1,1,1,2,-.1360879987478256,-.3817137479782104,-6.330977916717529,-6.132544040679932,-3.959934234619141,-4.222447395324707
88,1,1,1,1,1,2,1,.1815574914216995,.7429298162460327,-6.716379165649414,-6.369789600372314,-5.904667854309082,-5.899099826812744
89,1,1,1,1,1,2,1,.4728611409664154,.2240208238363266,-5.943037509918213,-6.190128326416016,-4.89444637298584,-5.291464805603027
90,1,1,1,1,1,1,1,.1290125697851181,.3295994400978088,-5.66661548614502,-5.300054550170898,-4.300209045410156,-4.803384780883789
91,1,1,1,1,1,2,2,.1402044594287872,.0021980644669384,-1.579805254936218,-2.361644983291626,-3.020294904708862,-2.925228357315063
92,1,1,1,1,1,1,1,-.1594236195087433,-.1856479793787003,-.8750424981117249,.3029226958751678,-1.426122426986694,-1.447911143302917
93,1,1,1,1,1,1,2,-.1290964782238007,-.1123337149620056,-4.213620662689209,-5.20117712020874,-4.365448951721191,-4.086326599121094
94,1,1,1,1,1,2,1,.1484919339418411,.0356269739568233,-1.381306886672974,-1.613629102706909,-2.874838352203369,-2.521413087844849
95,1,1,1,1,1,1,1,.9426837563514709,.9238713979721069,-1.146167755126953,.0447472780942917,-3.673444509506226,-3.739174365997314
96,1,1,1,1,1,2,1,1.481735467910767,1.477040648460388,-3.429728269577026,-1.00128960609436,-4.235414981842041,-3.854228496551514
97,1,1,1,1,1,1,2,.9383577704429626,.9623424410820007,1.655858397483826,-1.784359455108643,-2.80869722366333,-2.088056802749634
98,1,1,1,1,1,1,2,1.278514504432678,1.48366367816925,-3.387797117233276,-3.574565649032593,-3.849574565887451,-4.382972717285156
99,1,1,1,1,1,1,2,.7506569027900696,.8844821453094482,.1947282552719116,-.3344857394695282,-1.233758807182312,.2767150104045868
100,1,1,1,1,1,1,1,.6530952453613281,.1737807095050812,-.4652246236801147,-1.491640090942383,-1.574803948402405,-.5468656420707703
101,1,1,1,1,1,2,1,.4437820017337799,.3196785748004913,.6083373427391052,.5079960227012634,1.056341171264648,1.895085334777832
102,1,1,1,1,1,1,2,.6542095541954041,.5970087051391602,-.7815471887588501,.5244790315628052,-1.660857677459717,-.0755824372172356
103,1,1,1,1,1,1,1,.6556486487388611,.2720415592193604,-.0155725385993719,-.1120254471898079,-.410637229681015,-1.48498547077179
104,1,1,1,1,1,1,2,.6011264324188232,.5880371928215027,.313009113073349,2.078327655792236,.1182216629385948,1.702853679656982
105,1,1,1,1,1,2,2,.563380241394043,.6114415526390076,-.5069620609283447,.0531797185540199,-.0887172073125839,-1.140418291091919
106,1,1,1,1,1,2,2,.3199628293514252,-.176836758852005,-5.761327743530273,-6.098042964935303,-4.601696014404297,-4.666546821594238
107,1,1,1,1,1,2,2,.8996156454086304,.9553825259208679,-4.763323307037354,-4.715144157409668,-3.913151741027832,-4.105575084686279
108,1,1,1,1,1,1,1,.4707077443599701,.6971455216407776,-4.47545337677002,-4.79069185256958,-3.027565956115723,-3.608594179153442
109,1,1,1,1,1,1,2,1.126470804214478,1.270110249519348,-4.775666236877441,-4.917640686035156,-4.132872104644775,-4.076268672943115
110,1,1,1,1,1,1,2,-.0497764348983765,.7149629592895508,-2.392110347747803,-2.776146411895752,.4282886981964111,-.0626721531152725
111,1,1,1,1,1,1,2,1.241783261299133,1.620052218437195,-4.10228157043457,-4.309695243835449,-4.226670742034912,-4.337368011474609
112,1,1,1,1,1,2,2,1.047042012214661,1.47326672077179,-4.242587089538574,-4.236569881439209,-4.417338371276855,-4.366950511932373
113,1,1,1,1,1,2,1,1.01453709602356,.8548390865325928,-4.243969917297363,-4.330320358276367,-4.417338371276855,-4.223849773406982
114,1,1,1,1,1,2,1,.7718537449836731,.7039214968681335,-1.440287351608276,-2.214734792709351,-4.568202018737793,-2.459420442581177
115,1,1,1,1,1,2,1,-.5228633284568787,-.8308267593383789,-.6428818106651306,.799762487411499,2.287010192871094,4.847549915313721
116,1,1,1,1,1,2,1,.7107450366020203,.3796791732311249,-2.536799907684326,-2.32726263999939,-2.768712759017944,-2.515561580657959
117,1,1,1,1,1,1,2,.7592393755912781,.8912448883056641,-.1963274031877518,-1.027401924133301,-.4680346250534058,.1593198627233505
118,1,1,1,1,1,1,2,-.0821447148919106,-.2667075991630554,-6.33076810836792,-6.999974250793457,-5.073567867279053,-5.416144371032715
119,1,1,1,1,1,1,1,1.170843958854675,.9557474255561829,-4.983343124389648,-5.024276733398438,-3.864569902420044,-3.744201421737671
120,1,1,1,1,1,1,1,1.010615706443787,.8890607357025146,-4.42330265045166,-4.652347087860107,-3.865591764450073,-4.907108783721924
121,1,1,1,1,1,2,2,1.379443407058716,.9580149054527283,-5.257555961608887,-5.274693012237549,-4.252288818359375,-4.337368011474609
122,1,1,1,1,1,1,2,1.116472482681274,1.158281326293945,-3.645746469497681,-3.526670217514038,-3.849574565887451,-3.301794767379761
123,1,1,1,1,1,1,2,.8630214929580688,.9766767024993896,-2.006036520004272,-2.112493991851807,-.7503768801689148,-1.392413020133972
124,1,1,1,1,1,1,2,.2275525778532028,.0134724443778396,-6.369105815887451,-5.945351600646973,-4.940980434417725,-4.543918609619141
125,1,1,1,1,1,2,2,.6296373009681702,.5613349676132202,-4.527320384979248,-4.346670627593994,-2.264626741409302,-3.06242561340332
126,1,1,1,1,1,1,2,1.059716820716858,.9030866622924805,-5.017444610595703,-5.23544979095459,-4.226670742034912,-4.337368011474609
127,1,1,1,1,1,2,1,1.008316040039063,1.231823921203613,-5.312418937683105,-5.515943050384521,-4.755475521087646,-4.751473903656006
128,1,1,1,1,1,1,1,1.149821043014526,.9160942435264587,-5.119491100311279,-5.4419846534729,-4.132872104644775,-4.783190250396729
129,1,1,1,1,1,2,1,1.108797907829285,1.04124915599823,-4.389549255371094,-4.072355270385742,-4.385534763336182,-4.223849773406982
130,1,1,1,1,1,1,2,.7702555656433105,.8066948652267456,-4.011934280395508,-4.29301118850708,-4.347293853759766,-4.337368011474609
131,1,1,1,1,1,1,1,1.1284419298172,.9877029657363892,-3.524436235427856,-3.58259654045105,-3.849574565887451,-3.876957654953003
132,1,1,1,1,1,1,1,.6413572430610657,.3981438279151917,-.7408366203308105,-1.369725823402405,-.410637229681015,-.8027172684669495
133,1,1,1,1,1,1,2,.0642811357975006,.0162098482251167,6.775381565093994,4.497763633728027,8.030078887939453,5.591239929199219
134,1,1,1,1,1,2,2,-.0226244162768126,.20775406062603,5.835234642028809,4.822150707244873,10.09285163879395,7.416979312896729
135,1,1,1,1,1,2,1,.0929495096206665,.011997090652585,5.927318096160889,5.890230178833008,9.904919624328613,6.908531665802002
136,1,1,1,1,1,1,1,.3324973881244659,-.1391715258359909,-2.514079093933105,-2.666690826416016,.8023551106452942,1.801080226898193
137,1,1,1,1,1,1,2,.9480674266815186,1.06508731842041,-4.517483711242676,-3.416680097579956,-4.045764446258545,-2.402529954910278
138,1,1,1,1,1,2,2,.2202251702547073,.1379619538784027,-1.058688640594482,-2.157845020294189,.13625468313694,1.064029335975647
139,1,1,1,1,1,1,2,.9107518792152405,1.171415090560913,-2.974649906158447,-2.598404407501221,-3.013992547988892,-2.730691194534302
140,1,1,1,1,1,2,1,.6816316843032837,.4501301944255829,-1.00278115272522,-2.923675298690796,-2.182664155960083,-2.871754169464111
141,1,1,1,1,1,1,1,.8358644247055054,1.275198459625244,-2.605427503585815,-3.391895771026611,-.6966921091079712,-3.157000064849854
142,1,1,1,1,1,1,2,1.097496867179871,1.192952990531921,-3.361382722854614,-2.849520683288574,-3.849574565887451,-3.429474830627441
143,1,1,1,1,1,1,1,.7579444646835327,.2559677958488464,.9014952182769775,-.0992522314190865,.5206447839736938,.7592182755470276
144,1,1,1,1,1,2,1,-.0060113403014839,.1664981991052628,-.2265864014625549,-.1300395727157593,.5799131393432617,1.176538586616516
145,1,1,1,1,1,2,1,.3283273875713348,.1976433098316193,-4.119918823242188,-4.70443868637085,-2.35962986946106,-2.348351240158081
146,1,1,1,1,1,2,2,.8311469554901123,1.004621624946594,-5.009403705596924,-4.899690628051758,-3.863136768341064,-4.007089138031006
147,1,1,1,1,1,2,2,1.401597738265991,1.337714910507202,-5.254722595214844,-5.274693012237549,-4.252288818359375,-4.337368011474609
148,1,1,1,1,1,1,2,1.133449912071228,1.152581810951233,-3.648986577987671,-3.526670217514038,-3.849574565887451,-3.301794767379761
149,1,1,1,1,1,2,2,.9406920671463013,1.146129608154297,-4.759745121002197,-4.715144157409668,-4.674688816070557,-3.945615530014038
150,1,1,1,1,1,1,1,.3047378361225128,1.387282252311707,-4.540347576141357,-4.876747608184814,-3.364657163619995,-3.809027194976807
151,1,1,1,1,1,2,1,1.093246459960938,1.17460036277771,-3.552061557769775,-3.01685619354248,-3.115009307861328,-2.528592586517334
152,1,1,1,1,1,2,1,.9168998599052429,.9119431972503662,-5.101739406585693,-5.151254177093506,-4.694801807403564,-4.712246894836426
153,1,1,1,1,1,2,2,1.079140782356262,1.19223964214325,-2.96678352355957,-2.849520683288574,-4.105502128601074,-3.18624210357666
154,1,1,1,1,1,2,1,.8224611282348633,.5474010705947876,-2.042515516281128,-2.042731285095215,-2.722757339477539,-2.488438606262207
155,1,1,1,1,1,1,2,-.8817420601844788,-1.079535245895386,3.142143964767456,2.069813251495361,.1849075853824615,-.3144494295120239
156,1,1,1,1,1,1,1,.145572617650032,.0675119161605835,-4.027612686157227,-4.592133522033691,-3.648749589920044,-4.142189979553223
157,1,1,1,1,1,2,2,-.5330760478973389,-.5757914185523987,8.588273048400879,8.317595481872559,3.896017551422119,3.419851064682007
158,1,1,1,1,1,2,2,.2703115046024323,.229777604341507,-4.701952457427979,-5.247290134429932,-4.878736972808838,-4.709592819213867
159,1,1,1,1,1,2,1,-.5400145649909973,.311728835105896,-4.741497039794922,-5.511667251586914,-5.021575450897217,-5.067252635955811
160,1,1,1,1,1,2,2,-.4677700996398926,-.550656795501709,-4.528088569641113,-4.708949089050293,-4.593997955322266,-4.426043510437012
161,1,1,1,1,1,2,1,-.2567578554153442,.2339890748262405,-5.790089130401611,-6.110461235046387,-6.067751407623291,-5.734647274017334
162,1,1,1,1,1,1,2,.1556653529405594,.1866211295127869,-5.795308589935303,-6.312888622283936,-5.135560989379883,-5.673143863677979
