m_sip1991_id,m_sip1991_sample,m_sip1991_sample_1,m_sip1991_sample_2,m_sip1991_sample_mn,m_sip1991_sample_md,m_sip1991_fid_1,m_sip1991_fid_2,m_sip1991_Y1_pystacked_1,m_sip1991_Y1_pystacked_2,m_sip1991_Y1_pystacked_L1_1,m_sip1991_Y1_pystacked_L1_2,m_sip1991_Y1_pystacked_L2_1,m_sip1991_Y1_pystacked_L2_2,m_sip1991_Y1_pystacked_L3_1,m_sip1991_Y1_pystacked_L3_2,m_sip1991_D1_pystacked_1,m_sip1991_D1_pystacked_2,m_sip1991_D1_pystacked_L1_1,m_sip1991_D1_pystacked_L1_2,m_sip1991_D1_pystacked_L2_1,m_sip1991_D1_pystacked_L2_2,m_sip1991_D1_pystacked_L3_1,m_sip1991_D1_pystacked_L3_2
1,1,1,1,1,1,2,1,-7420.2568359375,-15875.0087890625,-18287.515625,-16516.23046875,-18335.380859375,-16648.08984375,-1713.56640625,-887.9925537109375,.0916516482830048,.0920894891023636,.1323446184396744,.1641455888748169,.1375850141048431,.1725304871797562,.0713321194052696,.0469451695680618
2,1,1,1,1,1,2,1,-998.0407104492188,-5334.50830078125,-6554.5732421875,-5578.37158203125,-6458.578125,-5122.95654296875,1919.844116210938,365.2203063964844,.2905963659286499,.3508931398391724,.2635914087295532,.310099333524704,.2624980807304382,.3097611963748932,.3033866882324219,.3739768266677856
3,1,1,1,1,1,2,1,-4721.08740234375,-10824.2880859375,-6519.71533203125,-11160.5302734375,-6494.6328125,-11201.203125,-3776.579833984375,-2965.4365234375,.3058255910873413,.3021923005580902,.3305020034313202,.3278540968894958,.3412198722362518,.3372079432010651,.2913082838058472,.2825411558151245
4,1,1,1,1,1,1,2,42368.2578125,37779.28125,45662.453125,48627.69140625,47280.265625,48941.07421875,33364.38671875,34655.0546875,.4587573707103729,.469837099313736,.4310638904571533,.3938066363334656,.4305932223796844,.400684118270874,.4706610143184662,.5089128017425537
5,1,1,1,1,1,2,2,9430.134765625,8016.92578125,14430.3056640625,13317.439453125,14250.1328125,13075.7919921875,6804.4111328125,6490.43359375,.2529896199703217,.2572862207889557,.2351585477590561,.2493439763784409,.232605829834938,.2475991696119308,.2619680166244507,.2623078227043152
6,1,1,1,1,1,1,2,22962.53125,19710.41015625,24438.662109375,21240.640625,23728.287109375,21052.99609375,19078.283203125,19269.720703125,.4379211366176605,.41599240899086,.367161363363266,.3488881587982178,.3594919443130493,.3335759341716766,.4710694551467896,.4586375951766968
7,1,1,1,1,1,2,1,5315.44775390625,3523.5400390625,-2282.611083984375,3347.219482421875,-2323.705810546875,3277.123046875,9305.392578125,7644.6103515625,.277026504278183,.3068989813327789,.3294467628002167,.3481467664241791,.3204064071178436,.3358392417430878,.2554490268230438,.2906574308872223
8,1,1,1,1,1,1,2,-3471.511474609375,1937.171630859375,-5307.927734375,-4797.2294921875,-4463.806640625,-4644.30859375,2309.720458984375,3876.608154296875,.0972586274147034,.0883347913622856,.1782411634922028,.1382438838481903,.1896337866783142,.1604262888431549,.0582160279154778,.0524995140731335
9,1,1,1,1,1,1,1,42034.92578125,43428.87109375,40919.27734375,43273.2265625,40529.56640625,42712.24609375,47216.3125,47066.7109375,.7003953456878662,.7258908748626709,.6967071294784546,.7322624325752258,.6816678643226624,.7185582518577576,.7083105444908142,.7300059795379639
10,1,1,1,1,1,1,1,-1639.789794921875,-3484.82958984375,-3188.470458984375,-3726.691650390625,-1788.468139648438,-2742.057861328125,3284.3154296875,2168.121337890625,.4240113794803619,.4492282569408417,.3926014006137848,.3697012364864349,.3842813670635223,.3632281124591827,.4408033490180969,.4974924623966217
